TransactionID,Items
75,"Bakery_Bun,Fruits_Mango,Bakery_Bread,Snacks_Cookies,Fruits_Orange"
76,"Fruits_Apple,Beverages_Water,Fruits_Banana,Beverages_Soda,Dairy_Cheese,Dairy_Cream"
77,"Personal Care_Toothpaste,Fruits_Apple,Beverages_Soda,Household_Toilet Paper,Household_Dish Soap,Personal Care_Lotion,Bakery_Bun"
78,"Dairy_Cream,Bakery_Bun"
79,"Household_Mop,Beverages_Coffee,Household_Detergent,Personal Care_Soap,Snacks_Chocolate,Bakery_Bun"
80,"Household_Toilet Paper,Personal Care_Deodorant,Snacks_Chips,Fruits_Apple"
81,"Beverages_Juice,Personal Care_Lotion,Beverages_Tea,Household_Mop,Dairy_Butter,Fruits_Banana,Personal Care_Toothpaste"
82,"Beverages_Soda,Bakery_Cake,Dairy_Cream,Snacks_Chips,Beverages_Coffee,Bakery_Croissant,Bakery_Donut"
83,"Personal Care_Deodorant,Household_Mop,Bakery_Croissant,Household_Dish Soap,Snacks_Chocolate,Beverages_Tea"
84,"Personal Care_Deodorant,Snacks_Chocolate,Snacks_Popcorn,Household_Toilet Paper,Fruits_Apple,Beverages_Tea"
85,"Fruits_Orange,Dairy_Yogurt,Snacks_Chocolate,Household_Mop,Beverages_Water,Dairy_Butter,Bakery_Cake"
86,"Household_Detergent,Dairy_Butter"
87,"Snacks_Chocolate,Dairy_Milk,Beverages_Tea"
88,"Personal Care_Lotion,Personal Care_Toothpaste"
89,"Bakery_Bun,Personal Care_Deodorant,Dairy_Yogurt"
90,"Personal Care_Soap,Fruits_Apple,Bakery_Cake,Personal Care_Lotion,Beverages_Tea,Fruits_Grapes"
91,"Fruits_Banana,Dairy_Cream"
92,"Bakery_Croissant,Beverages_Tea,Bakery_Bread,Dairy_Cheese"
93,"Fruits_Apple,Dairy_Cream,Personal Care_Deodorant,Fruits_Mango"
94,"Dairy_Yogurt,Dairy_Butter,Fruits_Grapes,Snacks_Chocolate,Dairy_Milk,Beverages_Juice"
95,"Bakery_Bun,Beverages_Soda,Snacks_Popcorn,Personal Care_Lotion,Dairy_Cheese"
96,"Fruits_Apple,Fruits_Mango,Snacks_Cookies,Fruits_Grapes,Personal Care_Toothpaste"
97,"Beverages_Juice,Dairy_Cream,Personal Care_Lotion,Beverages_Coffee"
98,"Personal Care_Toothpaste,Dairy_Yogurt,Dairy_Cream,Bakery_Donut"
99,"Beverages_Juice,Bakery_Bun,Bakery_Cake,Dairy_Butter,Bakery_Donut,Beverages_Tea"
100,"Fruits_Apple,Fruits_Banana,Beverages_Tea"
101,"Household_Mop,Fruits_Orange,Dairy_Butter"
102,"Household_Mop,Household_Detergent,Personal Care_Toothpaste,Bakery_Donut,Dairy_Milk"
103,"Bakery_Bread,Household_Detergent,Beverages_Juice,Bakery_Cake,Personal Care_Lotion"
104,"Bakery_Croissant,Beverages_Tea,Household_Towel,Fruits_Grapes"
105,"Dairy_Cream,Dairy_Cheese,Personal Care_Toothpaste,Snacks_Chips,Bakery_Bread,Bakery_Donut"
106,"Snacks_Cookies,Beverages_Water,Snacks_Popcorn,Snacks_Chocolate,Snacks_Chips"
107,"Bakery_Donut,Personal Care_Toothpaste"
108,"Personal Care_Soap,Personal Care_Toothpaste,Snacks_Cookies"
109,"Dairy_Cheese,Bakery_Bun"
110,"Household_Mop,Fruits_Grapes,Beverages_Tea,Personal Care_Lotion,Fruits_Banana"
111,"Fruits_Grapes,Snacks_Chocolate"
112,"Bakery_Donut,Personal Care_Lotion,Dairy_Milk,Household_Dish Soap"
113,"Beverages_Juice,Fruits_Banana,Personal Care_Shampoo,Snacks_Chips,Personal Care_Deodorant,Household_Mop,Household_Detergent"
114,"Bakery_Bun,Household_Detergent,Fruits_Grapes,Beverages_Tea,Dairy_Cream,Household_Mop,Beverages_Water"
115,"Dairy_Milk,Household_Towel,Dairy_Cheese,Fruits_Grapes,Personal Care_Soap,Fruits_Apple"
116,"Household_Towel,Personal Care_Deodorant,Household_Mop,Fruits_Grapes,Personal Care_Toothpaste,Dairy_Milk,Snacks_Cookies"
117,"Personal Care_Lotion,Fruits_Apple,Bakery_Bun,Fruits_Orange,Beverages_Water,Bakery_Bread,Snacks_Biscuits"
118,"Snacks_Cookies,Dairy_Yogurt,Household_Toilet Paper,Household_Detergent,Fruits_Apple,Dairy_Milk,Personal Care_Toothpaste"
119,"Household_Toilet Paper,Bakery_Bun,Household_Detergent,Beverages_Coffee,Beverages_Soda"
120,"Dairy_Milk,Dairy_Cheese,Dairy_Cream,Snacks_Chips"
121,"Household_Detergent,Personal Care_Lotion"
122,"Snacks_Popcorn,Dairy_Cheese"
123,"Personal Care_Toothpaste,Snacks_Chips,Fruits_Grapes"
124,"Personal Care_Shampoo,Personal Care_Lotion,Bakery_Croissant,Dairy_Cheese,Beverages_Tea"
125,"Personal Care_Shampoo,Personal Care_Soap,Fruits_Mango,Dairy_Butter"
126,"Fruits_Mango,Household_Towel"
127,"Household_Dish Soap,Household_Toilet Paper"
128,"Fruits_Apple,Snacks_Chocolate,Dairy_Milk,Beverages_Coffee,Household_Mop,Snacks_Biscuits"
129,"Beverages_Soda,Snacks_Chocolate,Snacks_Biscuits,Personal Care_Lotion,Household_Dish Soap,Household_Towel"
130,"Beverages_Water,Fruits_Apple,Fruits_Grapes,Fruits_Mango,Household_Dish Soap,Bakery_Bread"
131,"Dairy_Milk,Household_Mop,Fruits_Banana"
132,"Snacks_Biscuits,Snacks_Chocolate,Household_Mop,Dairy_Cream,Personal Care_Deodorant"
133,"Fruits_Grapes,Dairy_Cheese,Dairy_Cream,Bakery_Bun,Beverages_Juice,Household_Toilet Paper,Fruits_Orange"
134,"Bakery_Croissant,Snacks_Cookies,Dairy_Cheese,Fruits_Mango"
135,"Beverages_Tea,Snacks_Chocolate,Snacks_Chips,Dairy_Cheese,Snacks_Popcorn,Personal Care_Toothpaste"
136,"Beverages_Water,Dairy_Yogurt,Beverages_Tea"
137,"Beverages_Water,Snacks_Chips,Household_Detergent,Fruits_Mango"
138,"Personal Care_Lotion,Fruits_Apple"
139,"Fruits_Grapes,Dairy_Yogurt,Household_Mop,Fruits_Orange"
140,"Dairy_Butter,Dairy_Yogurt,Dairy_Cheese,Bakery_Cake"
141,"Snacks_Cookies,Snacks_Chocolate"
142,"Personal Care_Deodorant,Dairy_Milk,Snacks_Popcorn,Beverages_Coffee,Household_Toilet Paper"
143,"Snacks_Popcorn,Bakery_Bun,Personal Care_Deodorant,Household_Towel,Fruits_Orange,Snacks_Cookies"
144,"Dairy_Milk,Personal Care_Toothpaste,Beverages_Soda,Fruits_Grapes,Fruits_Mango"
145,"Household_Mop,Beverages_Soda,Beverages_Water,Personal Care_Lotion"
146,"Fruits_Grapes,Bakery_Cake,Personal Care_Deodorant,Bakery_Bun,Snacks_Popcorn,Bakery_Croissant,Household_Dish Soap"
147,"Dairy_Butter,Bakery_Donut,Snacks_Chocolate,Household_Dish Soap"
148,"Household_Toilet Paper,Bakery_Croissant,Fruits_Grapes,Dairy_Yogurt,Personal Care_Toothpaste,Snacks_Biscuits"
149,"Snacks_Popcorn,Bakery_Bun,Dairy_Cheese,Fruits_Apple,Bakery_Cake"
150,"Beverages_Water,Personal Care_Soap,Dairy_Butter"
151,"Fruits_Orange,Snacks_Chips,Beverages_Soda,Dairy_Cheese,Beverages_Juice,Household_Detergent,Dairy_Milk"
152,"Bakery_Bread,Household_Mop,Dairy_Cream"
153,"Fruits_Mango,Household_Detergent,Bakery_Bun,Beverages_Juice,Personal Care_Toothpaste,Beverages_Soda,Bakery_Bread"
154,"Fruits_Mango,Personal Care_Deodorant,Fruits_Grapes,Dairy_Cheese,Household_Toilet Paper"
155,"Snacks_Chocolate,Bakery_Croissant,Snacks_Biscuits,Bakery_Cake,Dairy_Cream,Personal Care_Soap"
156,"Bakery_Bread,Household_Dish Soap"
157,"Bakery_Donut,Snacks_Popcorn,Bakery_Bun,Dairy_Butter,Bakery_Cake,Personal Care_Lotion,Household_Towel"
158,"Fruits_Mango,Dairy_Cheese,Household_Detergent"
159,"Dairy_Yogurt,Dairy_Milk,Snacks_Cookies,Personal Care_Toothpaste,Snacks_Chocolate,Bakery_Cake,Fruits_Mango"
160,"Bakery_Donut,Beverages_Water,Personal Care_Soap,Personal Care_Toothpaste,Household_Detergent,Dairy_Yogurt"
161,"Dairy_Cream,Personal Care_Deodorant"
162,"Dairy_Cheese,Beverages_Coffee,Snacks_Chips,Personal Care_Toothpaste,Household_Dish Soap"
163,"Personal Care_Soap,Fruits_Orange,Dairy_Milk,Household_Dish Soap,Fruits_Mango,Personal Care_Lotion,Beverages_Juice"
164,"Dairy_Milk,Household_Mop,Fruits_Orange,Bakery_Croissant,Fruits_Mango,Household_Toilet Paper,Bakery_Cake"
165,"Bakery_Bun,Snacks_Popcorn,Personal Care_Lotion,Snacks_Chips,Household_Detergent"
166,"Household_Dish Soap,Personal Care_Shampoo,Personal Care_Soap,Dairy_Cream,Dairy_Milk,Dairy_Yogurt"
167,"Bakery_Bread,Snacks_Chips,Fruits_Banana,Personal Care_Lotion,Snacks_Cookies,Bakery_Bun,Bakery_Croissant"
168,"Fruits_Mango,Beverages_Coffee,Dairy_Butter"
169,"Snacks_Chips,Dairy_Yogurt,Household_Dish Soap,Fruits_Grapes,Fruits_Banana"
170,"Snacks_Popcorn,Dairy_Yogurt,Dairy_Milk,Personal Care_Lotion,Dairy_Cream,Dairy_Cheese,Beverages_Juice"
171,"Bakery_Donut,Snacks_Popcorn"
172,"Personal Care_Toothpaste,Household_Detergent,Dairy_Milk,Household_Mop,Bakery_Bun,Household_Towel,Fruits_Apple"
173,"Beverages_Coffee,Bakery_Croissant,Beverages_Tea,Bakery_Bread,Household_Dish Soap,Fruits_Banana,Household_Toilet Paper"
174,"Fruits_Apple,Personal Care_Deodorant,Fruits_Mango,Household_Towel"
175,"Bakery_Donut,Dairy_Milk"
176,"Bakery_Croissant,Bakery_Bun,Personal Care_Shampoo,Bakery_Donut,Beverages_Soda"
177,"Snacks_Chips,Bakery_Croissant,Dairy_Cheese"
178,"Household_Dish Soap,Dairy_Butter,Fruits_Grapes,Bakery_Bread,Personal Care_Toothpaste,Dairy_Cream"
179,"Beverages_Coffee,Household_Toilet Paper,Beverages_Tea,Fruits_Orange"
180,"Household_Mop,Bakery_Cake,Beverages_Soda,Household_Toilet Paper,Bakery_Croissant"
181,"Bakery_Bun,Beverages_Soda"
182,"Household_Mop,Snacks_Chocolate,Household_Toilet Paper,Beverages_Juice"
183,"Household_Detergent,Fruits_Banana,Personal Care_Toothpaste,Fruits_Orange,Snacks_Biscuits,Snacks_Cookies"
184,"Snacks_Popcorn,Dairy_Milk,Bakery_Bun"
185,"Household_Detergent,Household_Towel"
186,"Snacks_Biscuits,Personal Care_Lotion,Dairy_Cheese,Bakery_Bread,Bakery_Donut"
187,"Dairy_Cheese,Snacks_Chips,Personal Care_Lotion,Beverages_Water,Household_Towel,Beverages_Juice,Fruits_Orange"
188,"Personal Care_Lotion,Beverages_Water"
189,"Beverages_Water,Personal Care_Lotion,Household_Toilet Paper,Household_Mop,Bakery_Cake,Bakery_Bun,Beverages_Coffee"
190,"Snacks_Chocolate,Beverages_Soda,Household_Dish Soap,Household_Towel,Dairy_Cream,Bakery_Donut"
191,"Personal Care_Deodorant,Household_Detergent,Bakery_Bun,Snacks_Cookies,Household_Mop"
192,"Bakery_Donut,Dairy_Cream,Household_Mop,Bakery_Croissant,Beverages_Water,Fruits_Apple"
193,"Bakery_Donut,Personal Care_Shampoo,Bakery_Croissant,Fruits_Grapes,Dairy_Milk,Household_Mop,Household_Detergent"
194,"Fruits_Mango,Dairy_Butter,Household_Towel,Personal Care_Lotion,Dairy_Milk,Snacks_Popcorn,Snacks_Biscuits"
195,"Fruits_Mango,Fruits_Banana,Fruits_Grapes,Dairy_Milk,Bakery_Croissant,Beverages_Water"
196,"Bakery_Bun,Fruits_Banana,Personal Care_Toothpaste,Snacks_Biscuits,Snacks_Chocolate"
197,"Beverages_Juice,Bakery_Bread,Bakery_Cake,Fruits_Apple,Bakery_Bun"
198,"Personal Care_Toothpaste,Dairy_Milk,Beverages_Coffee"
199,"Dairy_Butter,Fruits_Mango"
200,"Fruits_Mango,Household_Detergent,Snacks_Chips,Fruits_Apple,Snacks_Cookies"
201,"Dairy_Cream,Bakery_Croissant"
202,"Bakery_Cake,Bakery_Bun,Personal Care_Lotion"
203,"Household_Toilet Paper,Fruits_Apple,Personal Care_Toothpaste,Fruits_Orange,Beverages_Soda"
204,"Personal Care_Soap,Beverages_Coffee,Household_Towel,Household_Mop,Beverages_Juice,Snacks_Chocolate,Beverages_Water"
205,"Bakery_Cake,Dairy_Cream"
206,"Beverages_Tea,Household_Toilet Paper,Household_Mop"
207,"Snacks_Cookies,Bakery_Donut,Dairy_Cream,Bakery_Bread"
208,"Personal Care_Lotion,Fruits_Grapes,Dairy_Cheese,Fruits_Mango,Bakery_Bun"
209,"Household_Toilet Paper,Bakery_Donut,Fruits_Banana,Household_Dish Soap"
210,"Bakery_Croissant,Household_Toilet Paper,Snacks_Biscuits,Personal Care_Lotion,Snacks_Cookies,Bakery_Cake,Dairy_Butter"
211,"Household_Dish Soap,Bakery_Bun,Household_Detergent"
212,"Fruits_Banana,Personal Care_Toothpaste"
213,"Bakery_Cake,Fruits_Banana,Bakery_Bread,Personal Care_Lotion,Household_Towel"
214,"Dairy_Cream,Household_Mop"
215,"Snacks_Biscuits,Bakery_Bun,Dairy_Cream"
216,"Fruits_Apple,Dairy_Cheese,Snacks_Chips,Household_Dish Soap"
217,"Snacks_Chips,Bakery_Donut,Fruits_Orange,Bakery_Croissant,Beverages_Soda,Dairy_Cream"
218,"Snacks_Biscuits,Snacks_Popcorn,Dairy_Cream"
219,"Personal Care_Soap,Fruits_Apple,Dairy_Cheese,Household_Mop,Household_Toilet Paper"
220,"Dairy_Cream,Personal Care_Deodorant"
221,"Snacks_Cookies,Fruits_Orange,Beverages_Water,Bakery_Cake,Household_Toilet Paper"
222,"Snacks_Biscuits,Snacks_Chips"
223,"Personal Care_Toothpaste,Bakery_Donut"
224,"Snacks_Biscuits,Fruits_Apple"
225,"Beverages_Tea,Household_Towel,Bakery_Cake"
226,"Snacks_Cookies,Snacks_Biscuits,Personal Care_Soap"
227,"Bakery_Donut,Personal Care_Lotion,Beverages_Water"
228,"Snacks_Biscuits,Fruits_Apple,Personal Care_Lotion,Household_Mop,Personal Care_Toothpaste,Bakery_Bun"
229,"Dairy_Cheese,Household_Dish Soap"
230,"Household_Towel,Dairy_Cream,Household_Dish Soap,Personal Care_Lotion"
231,"Fruits_Banana,Dairy_Butter,Bakery_Bread,Fruits_Mango"
232,"Dairy_Cream,Snacks_Cookies,Beverages_Soda,Personal Care_Lotion"
233,"Fruits_Banana,Snacks_Cookies,Fruits_Grapes,Fruits_Apple,Snacks_Chips"
234,"Personal Care_Soap,Household_Towel,Dairy_Cheese,Fruits_Apple,Household_Dish Soap,Beverages_Tea,Beverages_Coffee"
235,"Fruits_Banana,Bakery_Cake,Household_Detergent,Fruits_Apple,Personal Care_Deodorant,Beverages_Coffee,Dairy_Yogurt"
236,"Dairy_Yogurt,Beverages_Tea,Dairy_Cream"
237,"Dairy_Cheese,Snacks_Popcorn,Dairy_Milk"
238,"Personal Care_Toothpaste,Snacks_Chips"
239,"Bakery_Cake,Household_Toilet Paper"
240,"Fruits_Mango,Fruits_Banana,Beverages_Water"
241,"Household_Mop,Personal Care_Shampoo,Personal Care_Lotion,Bakery_Bread,Snacks_Cookies"
242,"Dairy_Milk,Beverages_Soda"
243,"Snacks_Chocolate,Bakery_Croissant"
244,"Fruits_Apple,Bakery_Bread,Snacks_Chips,Beverages_Water,Snacks_Chocolate,Fruits_Grapes"
245,"Snacks_Cookies,Household_Dish Soap,Beverages_Soda,Beverages_Juice,Snacks_Popcorn,Fruits_Orange,Beverages_Water"
246,"Dairy_Cream,Fruits_Orange,Fruits_Mango,Household_Towel,Dairy_Butter,Beverages_Soda"
247,"Fruits_Mango,Snacks_Chocolate,Bakery_Donut,Fruits_Apple,Bakery_Cake,Household_Dish Soap"
248,"Dairy_Cheese,Dairy_Milk,Dairy_Cream,Bakery_Bun,Household_Detergent,Snacks_Cookies,Bakery_Croissant"
249,"Snacks_Chips,Dairy_Cheese,Household_Mop"
250,"Fruits_Banana,Dairy_Butter"
251,"Snacks_Cookies,Personal Care_Soap,Household_Mop,Fruits_Apple,Bakery_Cake,Fruits_Banana,Beverages_Coffee"
252,"Household_Detergent,Household_Mop,Dairy_Butter,Dairy_Milk,Personal Care_Deodorant,Personal Care_Soap,Personal Care_Lotion"
253,"Household_Toilet Paper,Household_Towel,Fruits_Banana,Fruits_Grapes"
254,"Personal Care_Shampoo,Snacks_Popcorn,Bakery_Cake,Snacks_Chocolate,Household_Toilet Paper"
255,"Snacks_Biscuits,Personal Care_Lotion,Snacks_Cookies"
256,"Bakery_Bread,Fruits_Apple,Dairy_Butter,Fruits_Grapes,Snacks_Popcorn,Beverages_Tea"
257,"Bakery_Bun,Bakery_Cake,Fruits_Banana,Beverages_Water,Snacks_Popcorn,Bakery_Croissant"
258,"Dairy_Milk,Snacks_Cookies"
259,"Beverages_Soda,Household_Dish Soap,Fruits_Grapes,Bakery_Bread,Personal Care_Shampoo"
260,"Personal Care_Deodorant,Personal Care_Shampoo,Household_Detergent,Beverages_Water,Bakery_Donut,Fruits_Banana"
261,"Personal Care_Toothpaste,Beverages_Soda,Beverages_Coffee,Bakery_Bread"
262,"Dairy_Butter,Beverages_Coffee,Bakery_Cake,Dairy_Milk,Household_Mop,Bakery_Donut"
263,"Snacks_Popcorn,Personal Care_Shampoo,Dairy_Butter,Snacks_Chocolate"
264,"Bakery_Bread,Dairy_Cream,Dairy_Butter,Beverages_Water,Personal Care_Deodorant"
265,"Household_Detergent,Personal Care_Deodorant,Fruits_Mango,Bakery_Cake,Personal Care_Toothpaste,Bakery_Croissant"
266,"Dairy_Milk,Dairy_Butter,Personal Care_Lotion,Personal Care_Deodorant,Snacks_Biscuits,Household_Toilet Paper,Beverages_Water"
267,"Dairy_Butter,Bakery_Cake,Fruits_Banana,Personal Care_Shampoo,Personal Care_Lotion,Bakery_Donut"
268,"Dairy_Butter,Fruits_Grapes"
269,"Snacks_Chips,Bakery_Cake,Bakery_Bun,Bakery_Donut,Household_Mop,Dairy_Yogurt"
270,"Personal Care_Deodorant,Personal Care_Shampoo,Dairy_Milk,Bakery_Cake,Snacks_Popcorn"
271,"Personal Care_Lotion,Snacks_Chips,Household_Detergent,Fruits_Apple,Dairy_Milk"
272,"Household_Mop,Beverages_Tea,Household_Toilet Paper,Household_Dish Soap,Household_Detergent"
273,"Beverages_Juice,Dairy_Cream"
274,"Household_Detergent,Household_Toilet Paper,Beverages_Tea,Fruits_Banana"
275,"Snacks_Biscuits,Bakery_Croissant,Bakery_Donut,Fruits_Mango,Snacks_Chocolate"
276,"Personal Care_Toothpaste,Bakery_Donut,Dairy_Butter"
277,"Personal Care_Deodorant,Beverages_Coffee,Household_Towel,Bakery_Bun,Fruits_Banana"
278,"Fruits_Apple,Bakery_Donut,Bakery_Bun,Beverages_Water,Household_Toilet Paper"
279,"Personal Care_Shampoo,Bakery_Cake,Beverages_Tea"
280,"Household_Detergent,Personal Care_Deodorant,Snacks_Cookies,Household_Mop,Household_Toilet Paper"
281,"Household_Mop,Snacks_Biscuits,Dairy_Yogurt,Dairy_Cream,Fruits_Apple,Personal Care_Soap,Fruits_Orange"
282,"Dairy_Milk,Beverages_Coffee"
283,"Personal Care_Toothpaste,Beverages_Coffee"
284,"Fruits_Apple,Household_Towel,Snacks_Chips"
285,"Snacks_Cookies,Beverages_Tea,Fruits_Banana,Personal Care_Deodorant"
286,"Fruits_Grapes,Fruits_Apple,Fruits_Mango"
287,"Fruits_Apple,Snacks_Cookies,Fruits_Orange,Bakery_Bread"
288,"Personal Care_Shampoo,Fruits_Orange,Bakery_Cake"
289,"Dairy_Cream,Beverages_Water,Dairy_Cheese,Snacks_Biscuits,Household_Dish Soap,Fruits_Mango,Snacks_Popcorn"
290,"Beverages_Tea,Bakery_Croissant,Snacks_Popcorn,Household_Dish Soap"
291,"Household_Detergent,Dairy_Milk"
292,"Personal Care_Lotion,Personal Care_Soap,Snacks_Chocolate,Bakery_Croissant"
293,"Beverages_Water,Snacks_Biscuits,Dairy_Milk,Household_Toilet Paper,Snacks_Cookies,Household_Towel,Beverages_Tea"
294,"Beverages_Soda,Fruits_Grapes"
295,"Bakery_Cake,Snacks_Cookies,Bakery_Donut,Fruits_Grapes,Personal Care_Lotion,Snacks_Popcorn,Household_Toilet Paper"
296,"Bakery_Croissant,Bakery_Bun,Fruits_Grapes,Bakery_Cake,Snacks_Cookies"
297,"Dairy_Cheese,Snacks_Biscuits,Snacks_Cookies,Snacks_Chips"
